 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1485237,201709,1801-2400,EAR.Airport,NE,,,60,,,VMC,10,,Dusk,8500,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,VFR,Photo Shoot / Video,,Cruise,,Class E EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Contracted Service,Pilot Flying,Flight Crew Commercial,Flight Crew Total 15,,Situational Awareness; Confusion,,,1485237,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR,,,Automation Aircraft Other Automation,In-flight,Flight Crew Became Reoriented; Flight Crew Exited Penetrated Airspace,Airspace Structure,Airspace Structure,"I went to shoot some footage using my DJI Mavic Pro (Drone) after being contracted by a company. I checked flight maps before flying to make sure that I would not enter Class E Airspace during the shoot as the Class E airspace for Kearney Regional Airport (EAR) extended down to the surface near where I was flying. During takeoff and the first 15 minutes of my flight; everything was running as it should. Aircraft had no issues; and I was NOT in Class E Airspace; however; as I went to capture the east side of the building; my DJI GO 4 app began warning me that I had entered Class E airspace of the Kearney Regional Airport. After discovering this; I ended my recording and proceeded to land in a safe location outside of Class E airspace. I did not exceed 60 feet AGL during my flight at any time.I believe this problem resulted because of how close the event was to Class E airspace and also due to the fact that I could not zoom in close enough with my map resource (www.skyvector.com). Based on what I read on my map; I believed that I was not going to enter Class E airspace during my flight.No aircraft were harmed. My maximum altitude was 60 feet AGL. There was no risk of any aircraft colliding. No aircraft had to take action to avoid a collision.",,,,"A contracted drone operator reported he was alerted by the drone's sensors that he may have penetrated Class E airspace. He immediately terminated his video photography and exited the area.",
1486594,201710,1801-2400,DAY.Airport,OH,,,0,,,VMC,,,Daylight,,,Tower DAY,,UAV - Unpiloted Aerial Vehicle,,1,,,,,Cruise,None,Class C DAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility DAY.Tower,,Government,Local,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 4,,Communication Breakdown; Situational Awareness,Party1 ATC; Party2 Flight Crew; Party2 ATC,,1486594,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,Pre-flight,Air Traffic Control Provided Assistance,Procedure; Manuals; Aircraft; Company Policy; Human Factors,Company Policy,"I was working Local Control; the Controller in Charge (CIC) took a phone call on recorded line. The person on the line asked if he was [our Air Traffic Manager (ATM)]. The CIC stated 'no'. The caller then stated that the ATM had told him to call this number prior to departing his drone. There was zero prior coordination with the controllers. The caller stated he would remain north of a particular road and be below 300 feet. The CIC asked them to notify us after they were complete with their operations. We found a binder in the tower; in the back of the cab; that has the drone procedures. We found the drone pilots Authorization Request that was denied. He was then issued a waiver that stated he was to remain below 75 feet. Based on our grid and how close to our airport this was going to take place; he should not have been granted approval in the first place.There was also an email between the pilot and the ATM where the pilot stated he would be climbing to at least 100 feet and up to 300 feet on one. This is completely against the waiver the pilot received. The ATM would've known about this. The flight path of the drone put them in direct conflict with departures and was especially a conflict for two aircraft I had doing pattern traffic. This was very unsafe. It would have been nice to know about a drone that's in direct conflict with aircraft in my airspace. There should have been notification that this was going to take place. There should also have been someone instructing the drone pilot to adhere to his 75 foot restriction.",,,,"DAY Controller reported a drone pilot operated a drone in violation of their Authorization Request.",
1487433,201710,1801-2400,ZZZ.Airport,US,,,250,,,VMC,10,,Night,3000,,,,UAV - Unpiloted Aerial Vehicle,,,Other 107,,,,Cruise,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Observer,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 30; Flight Crew Total 660; Flight Crew Type 300,,Situational Awareness,,,1487433,,,,,,,,,,,,Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Security; Deviation / Discrepancy - Procedural FAR,,,Person Observer,In-flight,General None Reported / Taken,Human Factors,Human Factors,"I observed an unmanned UAS hovering stationary in the immediate vicinity of the [concert event] stage at approximately 250 AGL in close proximity to a large pyrotechnic display associated with the concert performance. In my opinion; this operation was unsafe and should have been prohibited in light of recent events by the establishment of a TFR for security purposes.",,,,"A ground observer reported noticing a UAV was operating near the stage at a concert event.",
1488815,201709,1801-2400,,,,,50,,,VMC,,,Daylight,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,,Personal,,Cruise,None,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Pilot Flying,,Flight Crew Last 90 Days 50; Flight Crew Total 1000; Flight Crew Type 1000,,Training / Qualification; Situational Awareness,,,1488815,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Flight Crew,Routine Inspection,General None Reported / Taken,Human Factors,Human Factors,"I was operating a hobby racing drone in proximity to a moving freight train. I am a very experienced manual drone operator; and I decided to fly closely to; land on; fly under; and fly inside of; a passing cargo train. I wasn't aware; ahead of the flight; that there were strict rules about what you can and cannot do near railroad property. The flight lasted about 3 minutes; and I landed safely; putting nothing but the drone in jeopardy. It will not be happening again.",,,,"UAV operator reported unauthorized operation of a drone in close proximity to a moving freight train.",
1491696,201710,1201-1800,,,,,2,,,VMC,10,,Daylight,CLR,,,Corporate,UAV - Unpiloted Aerial Vehicle,,,Other 107,None,Training,,Climb,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Corporate,,Other Remote Pilot,Flight Crew Last 90 Days 15; Flight Crew Total 100; Flight Crew Type 100,,Situational Awareness,,,1491696,,,,,,,,,,,,Inflight Event / Encounter Object,,N,Person Other Person,In-flight,Aircraft Aircraft Damaged,Procedure,Procedure,"Flew DJI Inspire drone into tree. I misjudged proximity to obstacle. Damaged onboard camera and rotor blade.",,,,"Phantom Pro 4 UAV Operator reported a collision with a tree during climb.",
1495076,201710,0601-1200,,,,,,244,,,6,,Daylight,10000,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,None,Personal,,Cruise,None,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,Part 91,,Personal,,Cruise,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Aircraft X,,Personal,UAS Operator,Other RPIC,Flight Crew Last 90 Days 10; Flight Crew Total 22; Flight Crew Type 22,,Situational Awareness,,,1495076,,,,,,,,,,,,Conflict NMAC; Deviation / Discrepancy - Procedural Published Material / Policy,Horizontal 200; Vertical 100,,Person Other Person,In-flight,Flight Crew Took Evasive Action,Environment - Non Weather Related; Procedure,Procedure,"While flying my UAS along the shore. I experienced a near miss with a low flying aircraft. I was taking pictures of the surf and cliffs for my photography portfolio. I was flying a UAS. I launched from the parking area overlooking the beach; altitude about 71ft MSL. Visibility was reported as greater than 10 NM; winds less than 4 MPH. Although visibility along the beach was unlimited to the South; [it was] about .9 Miles to the North. I had completed filming and had instituted the automated Return-To-Home procedure. In this mode the aircraft climbs to its designated RTH altitude and autonomously flies back and lands at its launch or 'Home' point. Although on autopilot the aircraft still responds to the controls. At this point; I observed and heard an aircraft flying low (a little above the top of the bluff which at that point is 71ft MSL) along the beach that had come from the North around the point. My first reaction was to dive the drone and I started to descend but I realized that it was already above the level of the approaching aircraft so I reversed throttle and continued the climb to evade. The aircraft passed below the drone which was at about 244ft MSL altitude and between the drone and I. The aircraft was a low-wing; single-engine; monoplane; dark in color. The pilot gave no indication that he saw the UAS and continued flying South along the beach. Although the sectional charts list the Minimum Safe Altitude in the area at over 1;000 ft; aircraft sometimes fly along the beach because it is very scenic with the ocean view stretching out to the horizon. This also creates the illusion that other aircraft can be seen well in time to be avoided. But the coast is not a straight line and aircraft skimming the bluffs over the beach are masked by bluffs at points along the coast. In this case the bluff [at the] point only .9 mile away masked the aircraft from my view and vice versa and it was in my flight space with almost no time to react. Pilots should expect to encounter [UAS]. FAA should remind pilots that even if visibility is unlimited; small drones can only be seen at best a mile away and they should avoid tracing the beach contour even if visual flight rules allow it.",,,,"UAS Operator reported a NMAC with an unidentified small aircraft in VMC at low altitude over coastal bluffs.",
1495784,201711,0601-1200,ZZZ.Airport,US,,,2000,,,VMC,10,,Daylight,12000,,,FBO,UAV - Unpiloted Aerial Vehicle,,,Other 107,,Utility / Infrastructure,,Descent,,Class E ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,FBO,Pilot Flying; Single Pilot; Other / Unknown,Flight Crew Commercial,Flight Crew Total 25,,,,,1495784,,,,,,,,,,,,Aircraft Equipment Problem Critical; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Ground Strike - Aircraft; Inflight Event / Encounter Loss Of Aircraft Control,,N,Person Ground Personnel,In-flight,Aircraft Aircraft Damaged,Aircraft,Aircraft,"I am part of a research team. For this research project; we use [UAV] aircraft to measure atmospheric conditions. For our flights; the [UAV] climbs vertically from the takeoff point to 2;500 feet AGL. It then descends back to the takeoff point to land. As Pilot in Command for these flights; my responsibility is the same as PIC of a manned aircraft. I ensure that the aircraft is operated according to procedures; I ensure that safety is considered at all times; I watch the aircraft and scan the area for other air traffic. I have full authority under 14 CFR 91.3 to end the flight or take any other action I see fit at any time. I do not; however; manipulate the controls. A separate [UAV] operator does so under my supervision and under my authority. The incident in question occurred during descent from the 8th flight of the day. The previous 7 had gone perfectly; without incident. On this flight; during descent; the rotors and motors sounded different than they usually do during this phase of flight. Believing this to be nearby air traffic; I quickly scanned the area. Seeing no traffic; I returned my line of sight to the [UAV]; which was descending more quickly than normal. Suddenly; a large cloud of smoke emanated from the [UAV]. All personnel on the ground moved away from the [UAV]; which fell to the ground and landed in a patch of grass.",,,,"UAV Operator reported losing control of the aircraft following an undetermined significant failure that resulted in the UAV crashing to the ground.",
1501108,201712,1201-1800,STP.Airport,MN,,4.8,100,,,VMC,10,,Night,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,,Personal,,Cruise,,Class D STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Observer,Flight Crew Private,Flight Crew Last 90 Days 0; Flight Crew Total 130; Flight Crew Type 120,,Training / Qualification; Situational Awareness,,,1501108,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Observer,In-flight,General None Reported / Taken,Human Factors,Human Factors,"A small unmanned aerial systems operator was flying a multi rotor copter at night over non-participating people at [a park] in St. Paul. The operator did not maintain situational awareness and line of sight at all times as the air vehicle passed behind trees. The waterfowl in the area were disturbed by the presence of the sUAS and moved away from the sUAS. Como Lake serves as a visual reporting point for approach to St. Paul Downtown Airport. The operator was on the east side of the lake on a peninsula jutting out into the lake just inside the Class D airspace for St. Paul Downtown Airport. The sUAS was equipped with nonstandard aircraft lighting. A person with me stated they saw a second sUAS without any aircraft lighting. I was unable to see the second one. The lighted aircraft stayed over nonparticipating people for about a minute.",,,,"A ground observer reported a UAV was operated at night over a group of people in a public park.",
1505072,201711,1201-1800,ZZZ.Airport,US,,,120,,,VMC,7,,Daylight,3000,,,,UAV - Unpiloted Aerial Vehicle,,,Other 107,None,Test Flight / Demonstration,,Initial Approach,None,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,,Pilot Flying; Other / Unknown,Flight Crew Commercial; Flight Crew Instrument,Flight Crew Last 90 Days 3; Flight Crew Total 779; Flight Crew Type 2,,,,,1505072,,,,,,,,,,,,Aircraft Equipment Problem Critical; Ground Event / Encounter Ground Strike - Aircraft; Inflight Event / Encounter Loss Of Aircraft Control,,,Person Other Person,In-flight,Aircraft Aircraft Damaged,Aircraft,Aircraft,"The V-10ET Unmanned Aircraft System had just completed getting some minor upgrades to the tail rotor system with a new motor to replace an older motor that had a bearing fail. On top of that it was running new code that changed how lost comms got handled so that we would not land on top of a payload carried in sling load. We had run the code in the simulator and with the tweaks; we were happy with the performance. We did a ground run of the helicopter to cycle the new batteries that we had purchased and to exercise the tail motor; which yielded nominal change in the performance. I flew the V-10ET starting with just a normal return to service flight with maneuvering in fully stable and mission mode to run our lost comms plan to validate if it did execute the maneuver as planned. The landing plan in mission mode seemed rather aggressive but not out of control. We wanted to try it again but closer; so we flew the landing plan right in front of us. The Helicopter seemed less aggressive but when arriving at the second waypoint in the plan we experienced a loss of main rotor RPM with the piccolo flight control system commanding full up pitch collective; effectively stopping the main rotor blades. With the altitude we had and almost zero forward airspeed; an autorotation was not possible from a pilot override. Post-crash inspection showed only damage to the side frames of the helicopter; main rotor; tail rotor and swash arms. The repair cost was under 500 dollars for the items that needed repair or replacement.Our internal investigation revealed we had a connector failure due to the new batteries being able to provide more current when needed then our old set of batteries. This caused the main flight battery connector to heat up and melt when the current draw increased beyond what the connectors where rated for. It was a combination of new batteries; new software that was more aggressive; and connectors that where sub-par for what was needed with the new software.",,,,"UAV Operator reported loss of aircraft control resulting in ground impact with some damage to the UAV.",
1513565,201801,0601-1200,ZZZ.Airport,US,,2.7,50,,,VMC,,,Daylight,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,None,Training,,Cruise,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Other / Unknown,,Flight Crew Type 15,,Situational Awareness,,,1513565,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Ground Personnel,In-flight,Flight Crew Became Reoriented; General Police / Security Involved,Human Factors,Human Factors,"Together with a friend; we went to the high desert area to do some low-level high speed tests with a DJI drone. Our originally planned area (a BLM (Bureau of Land Management) managed dry lake bed) was closed because of recent rains. We tried to find another suitable area like an open field without obstacles far from structures or people. In doing so; got too close (approximately 2.7 nm) to a private airport. We were intercepted by security and immediately ceased operations upon learning we were too close.Suggestions: 1) In drone ops; be more alert to nearby airports; even if private fields.2) Improve DJI location software to reduce false warnings. The software tends to provide alerts to the operator that often are incorrect.",,,,"UAV operator reported he was alerted by a private airport company security that he was operating too close to the private airport.",
1519204,201802,1201-1800,FAR.Tower,ND,,,,,,IMC,,,Daylight,,,,Government,UAV - Unpiloted Aerial Vehicle,,,Other 107,None,Tactical,,Cruise,None,Class D FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility FAR.Tower,,Government,,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 3,,,,,1519204,,,,,,,,,,,,ATC Issue All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown,,,Person Air Traffic Control,In-flight,Air Traffic Control Separated Traffic,Weather; Human Factors,Human Factors,"As I was pre-briefing for my shift; I was told that the Sheriff's department was flying a drone in our class D airspace just southwest of the airport over a large fire at a fuel tank farm. My first thought was that the weather was IFR and it didn't seem right to be flying any Unmanned Aerial Systems (UAS) in a Class D in IFR conditions. I then did some research; and after looking through the Certificate of Authorization (COA) and our LOA with the Sheriff's department; I saw that they were only authorized to fly in VMC conditions. I looked at the previous METARs for the day and saw it had been IFR the whole day. The visibility at the time was below 2 miles. The NOTAM for the UAS activity stated the defined area was a 2-mile radius from the FAR126002 and stated that it was 2.2 miles southeast of the West Fargo airport (D54) from surface to 400ft AGL. The FAR126002 would put the area about 11 southeast of D54; but the smoke from the fire was visible from the tower and it was clear that it was indeed 2.2 Southeast of D54. Later in the evening; I took a phone call from someone at approximately 4.5 miles South-southwest of the Fargo airport; or around 4 South-southeast from D54. The caller asked if the Sheriff's department called to notify us that they were flying a UAS. I acknowledged that though I didn't receive a call; that I believed they did call before my shift that day. The caller sounded concerned but didn't ask anything further. I then realized that the Sanford Hospital Heliport was within the defined area of the UAS activity. Since I didn't take the call and I wasn't in charge of the facility at the time; I assumed everything was being done correctly; but I did raise my concern with the supervisor on duty that I questioned whether they should be flying in IFR conditions. I believe this was an unsafe situation as we had IFR aircraft arriving on an ILS approach that got with a half mile of the defined area of the UAS activity. The defined area also had a radius of 2 miles and the visibility was less than 2 miles. I also realized after the call that this definitely could conflict with a medevac flight off Sanford Hospital. We were required to keep aircraft out of the defined area of the UAS activity. If a medevac helicopter wanted to depart Sanford Hospital; whether IFR or SVFR; we wouldn't have been able to allow it. The NOTAM wasn't cancelled until the next day in the morning. I recommend that pilots and COA holders be held accountable. It seems that law enforcement is under the impression that they can do whatever they want in situations like this; but there are procedures in place for a reason. Thankfully; nothing happened to conflict with the UAS activity in this situation; but there was potential for something dangerous and I would not want to be the one held accountable or the one denying any law enforcement activity because they are being unsafe.",,,,"KFAR Tower Controller reported an Unmanned Aerial System (UAS) operating in class D; under IFR conditions; contrary to the Certificate of Authorization and LOA.",
1527986,201803,0601-1200,ONT.Airport,CA,,,150,,,,Cloudy,,Daylight,,,,Corporate,UAV - Unpiloted Aerial Vehicle,,,Other 107,,Photo Shoot / Video,,Cruise,,Class C ONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contracted Service,Pilot Flying,,,,Communication Breakdown; Time Pressure,Party1 Flight Crew; Party2 ATC,,1527986,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,Routine Inspection,General None Reported / Taken,Airspace Structure; Company Policy,Company Policy,"I responded to an incident. I checked the airspace I was going to launch the UAS Mavic Drone and I was in Ontario Airport's Class C airspace. I made the proper phone calls to obtain a waiver to fly no more than 200 feet to take aerial photos and video. When I received the phone call back with information that a waiver was submitted and notified them I had a VO (visual observer) for this flight of no more than .25 mile radius. I performed approximately a 10 minute flight over the incident and never exceeded 150 feet in altitude. After my flight; I received a phone call back that they were still waiting for approval from the FAA to obtain the waiver. I then informed that I was completed with the flight over derailment and then realized the waiver was not approved at the time of flight. There was communication failure on the waiver and the pilot misunderstood that the waiver that was submitted was not a clearance for flight. We have learned that the actual waiver must be printed and obtained with the drone pilot before the flight and contact with the ATC must take place with a 10 minute wait before takeoff after notifying the airport and that the waiver is in hand.",,,,"UAV Operator reported thinking he was cleared via a waiver to operate within ONT airspace; but after the flight determined the waiver had never been obtained.",
1528848,201803,1201-1800,ZZZ.Airport,US,,,,2500,,VMC,10,,Daylight,10000,,Tower ZZZ,Government,UAV - Unpiloted Aerial Vehicle,,,Part 91,None,Training,,Landing,None,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tower ZZZ,Personal,Skylane 182/RG Turbo Skylane/RG,,1,Part 91,None,Personal,,Landing,,Class D ZZZ,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Pilot Not Flying,Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine,Flight Crew Last 90 Days 150; Flight Crew Total 6000; Flight Crew Type 20,,,,,1528848,,,,,,,,,,,,Conflict Airborne Conflict,Horizontal 3000; Vertical 3000,N,Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert,Airport; Procedure,Ambiguous,"On the second overflight of the Runway; half way down the downwind leg to Runway 25 we were cleared for the option (landing; touch and go; over-fly) to Runway 25. Prior to turning a right base to Runway 25; I heard additional traffic being cleared by the Tower for a 'right base to Runway 29.' We turned 'downwind' to 'base' at 2500 MSL (1000 AGL); prior to turning final (approximately halfway down our base leg); we heard an aircraft report to Tower that we were very close to him. The Tower stated to aircraft that we only looked close to him and that there was plenty of separation between the two aircraft.",,,,"UAV Operator reported that an aircraft in the traffic pattern felt the UAV was 'very close;' but the aircraft was advised by Tower that there was 'plenty of separation.'",
1529567,201803,0601-1200,,,,,0,,,,,,,,,,Government,UAV - Unpiloted Aerial Vehicle,,,,,Training,,,,,N,,,,,Testing; Installation,,,,,,,,,,,,,,,,,,Propeller Pitch Change Mechanism,,X,Improperly Operated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company,,Military,Technician,Maintenance Powerplant; Maintenance Airframe,Maintenance Technician 25,,Communication Breakdown,Party1 Maintenance; Party2 Maintenance,,1529567,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Maintenance,Routine Inspection,Aircraft Aircraft Damaged; General Maintenance Action,Human Factors,Human Factors,"While preforming propeller blade angle rigging; a movement of the power lever was commanded by maintenance technician 1 at the aircraft via radio to maintenance technician 2 in the Ground Control Station. Not realizing a rig pin was installed in the Propeller Pitch Controller; PPC; by maintenance technical 3; the power servo sheered the compass mount out of rig with the PPC housing. Though the PPC unit was not damaged the rigging compass mounted to the PPC was damaged requiring the replacement of the entire PPC. It was my perception as technician 1 that communication with technician 3 was not good and by the time I made the request to move the power lever it was too late to remove the rig pin and prevent the damage; with great force the rig pin was removed.",,,,"A UAV Technician reported that the pitch controller was moved with the rig pin still installed.",
1530897,201804,1201-1800,DEN.Airport,CO,,,100,,,,,,Daylight,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,Other 107,None,Personal,,Cruise,,Class B DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Pilot Flying,,Flight Crew Last 90 Days 1; Flight Crew Total 1; Flight Crew Type 1,,Training / Qualification; Situational Awareness; Confusion,,,1530897,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR,,N,Person Other Person,In-flight,General None Reported / Taken,Airspace Structure,Airspace Structure,"I flew my drone within a few hundred feet radius of my parents' house mainly keeping the craft parallel to the road that runs through the neighborhood. I flew for about 15-20 minutes total. I was mostly at an altitude below the tree line; somewhere between 10 and 30 feet. Highest altitude attained was right around 100 feet for a few seconds. I was under a false impression that I was able to fly the drone in the area; but now after looking at some of the maps I am not so certain. I did not defeat any safety devices on my drone or 'unlock' any software to fly there. One map I'm looking at shows that the airspace is not class B; another map I'm looking at shows that it is; so out of caution I will refrain from flying there anymore now that I know I could possibly be violating protected airspace. I am a novice with under 1 hour of flight time.",,,,"Unmanned Aerial Vehicle (UAV) operator reported that he was unsure whether he was in violation of FAR 107 while operating his drone due to ambiguity on the airspace charts.",
1531479,201803,0601-1200,ZZZ.Airport,US,,,100,,,,,,Daylight,,,,Corporate,UAV - Unpiloted Aerial Vehicle,,,Other 107,,Photo Shoot / Video,,Cruise,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Contracted Service,Other / Unknown,Flight Crew Commercial,Flight Crew Last 90 Days 5; Flight Crew Total 20; Flight Crew Type 20,,Communication Breakdown,Party1 Flight Crew; Party2 Ground Personnel,,1531479,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Observer,Other post flight,General Flight Cancelled / Delayed,Airport; Airspace Structure; Human Factors; Procedure,Ambiguous,"The drone was capturing footage of pilot flying a Cessna on a right turn loop. The plane pilot was practicing fly-throughs and touchdowns. I; the drone pilot; was in communication with the plane pilot the entire time via a hand radio. I; the drone pilot; had direct instruction to land the drone immediately should another plane come into the vicinity of the airfield. The drone remained a safe distance away from the runway to ensure no damage came to the plane; pilots or drone. While flying I was approached by other pilots (not in planes) asking if I had the permission of the airfield manager to fly the drone in the airfield. This prior authorization was not arranged. Learning this; I; the drone pilot; landed the drone and stopped filming. The film production company I contract for has permission to fly within that airspace however proper contact was not made with the airfield manager beforehand. This airport does not have an air traffic control tower; however; all movements of the plane and drone were communication on the airport frequency. No other planes entered the vicinity while the drone was in operation. No injuries or accidents occurred.",,,,"UAV Operator reported conducting a film shoot on an airport without obtaining proper approval from airport management.",
1534098,201803,0601-1200,IAD.Airport,DC,,4.5,88,,,VMC,Windshear,,Daylight,,,,,UAV - Unpiloted Aerial Vehicle,,,Other 107,VFR,Utility / Infrastructure,,,,Class B IAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Contracted Service,Single Pilot; Pilot Flying,,Flight Crew Last 90 Days 4; Flight Crew Total 7; Flight Crew Type 7,,Situational Awareness; Training / Qualification,,,1534098,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Ground Personnel,Routine Inspection,Flight Crew Became Reoriented,Human Factors,Human Factors,"Conducted a 4 minute flight for a roof inspection. I misinterpreted UAS facility map data and conducted flight in Class B airspace of IAD. Violation was discovered during monthly flight reviews by my company's drone department. I thought the number listed in the facility map grid box indicated the floor of the overlying controlled airspace. I know better now.",,,,"UAV operator reported conducting a flight within IAD Class B airspace because he misread the chart.",
